customer_id,product_category,review
1,men's apparel,"Great fit and very comfortable. I highly recommend this shirt!"
2,women's apparel,"Love the fabric! It's so soft and the dress fits perfectly."
3,men's street footwear,"These shoes are stylish and provide excellent support."
4,women's street footwear,"I'm obsessed with these sneakers! They're so cute and comfy."
5,men's athletic footwear,"Perfect for running. Great cushioning and very responsive."
6,women's athletic footwear,"These sneakers give me great support during my workouts!"
7,men's apparel,"The quality is amazing, and the design is very modern."
8,women's apparel,"This is my new favorite dress. I get compliments every time I wear it!"
9,men's street footwear,"Very durable and look fantastic with jeans."
10,women's street footwear,"These are the most comfortable shoes I've ever owned!"
11,men's athletic footwear,"I've improved my performance since switching to these shoes."
12,women's athletic footwear,"Love the colors and the fit is perfect. Great for Zumba!"
13,men's apparel,"Excellent quality, true to size, and fast shipping."
14,women's apparel,"The dress is beautiful and the material feels luxurious."
15,men's street footwear,"Great value for the price. Very happy with this purchase."
16,women's street footwear,"These shoes are perfect for everyday wear. So versatile!"
17,men's athletic footwear,"Best athletic shoes I've ever bought. Highly recommend!"
18,women's athletic footwear,"These shoes are super light and comfortable. I love them!"
19,men's apparel,"The shirt is a bit tight, but overall good quality."
20,women's apparel,"The color is slightly different than pictured, but still pretty."
21,men's street footwear,"The shoes are okay, but the sole could be more comfortable."
22,women's street footwear,"These shoes are a bit narrow, but otherwise fine."
23,men's athletic footwear,"The shoes are good for the gym, but not for running."
24,women's athletic footwear,"These shoes are a bit stiff, but they look nice."
25,men's apparel,"This is a great shirt, fits well, and looks great."
26,women's apparel,"I love this dress! It's so flattering and comfortable."
27,men's street footwear,"These shoes are really comfortable and stylish."
28,women's street footwear,"These sneakers are perfect for casual wear."
29,men's athletic footwear,"These shoes provide excellent support for running."
30,women's athletic footwear,"I love these shoes for my workouts!"
31,men's apparel,"The fabric is really soft and feels great on the skin."
32,women's apparel,"This dress is perfect for any occasion."
33,men's street footwear,"These shoes are durable and long-lasting."
34,women's street footwear,"These shoes are both stylish and comfortable."
35,men's athletic footwear,"These shoes help me perform my best."
36,women's athletic footwear,"I feel great when I wear these shoes to the gym."
37,men's apparel,"I'm very happy with the quality of this shirt."
38,women's apparel,"This dress fits perfectly and looks amazing."
39,men's street footwear,"These shoes are a great value for the price."
40,women's street footwear,"These shoes are my go-to for everyday wear."
41,men's athletic footwear,"These shoes have improved my running experience."
42,women's athletic footwear,"These shoes are perfect for any type of workout."
43,men's apparel,"The shirt is a little too large, but still wearable."
44,women's apparel,"The dress is a bit short, but I still like it."
45,men's street footwear,"The shoes are a bit uncomfortable after a few hours."
46,women's street footwear,"These shoes don't provide as much support as I'd like."
47,men's athletic footwear,"These shoes are okay, but I've had better."
48,women's athletic footwear,"These shoes are not as comfortable as I expected."
49,men's apparel,"This shirt is fantastic! The fit is perfect."
50,women's apparel,"I absolutely love this dress. It's so elegant."
51,men's street footwear,"These shoes are incredibly comfortable and stylish."
52,women's street footwear,"These sneakers are my new favorites. So versatile!"
53,men's athletic footwear,"These shoes are amazing for running. Great support."
54,women's athletic footwear,"I'm so happy with these shoes. Perfect for training."
55,men's apparel,"The quality of this shirt is outstanding."
56,women's apparel,"This dress is stunning. I feel amazing in it."
57,men's street footwear,"These shoes are durable and look great."
58,women's street footwear,"These are the most comfortable shoes I own."
59,men's athletic footwear,"These shoes have really improved my performance."
60,women's athletic footwear,"I love the way these shoes look and feel."
61,men's apparel,"This shirt is a great addition to my wardrobe."
62,women's apparel,"This dress is perfect for a special occasion."
63,men's street footwear,"These shoes are a great investment."
64,women's street footwear,"These shoes are perfect for a casual day out."
65,men's athletic footwear,"These shoes are designed for serious athletes."
66,women's athletic footwear,"These shoes provide the support I need for my workouts."
67,men's apparel,"The shirt is a bit snug, but still comfortable."
68,women's apparel,"The dress is a little long, but I can get it altered."
69,men's street footwear,"The shoes are a bit stiff at first, but they break in nicely."
70,women's street footwear,"These shoes are a bit slippery on wet surfaces."
71,men's athletic footwear,"These shoes are good for cross-training, but not running."
72,women's athletic footwear,"These shoes are okay for the gym, but not for intense workouts."
73,men's apparel,"This shirt is excellent, and the color is vibrant."
74,women's apparel,"I'm in love with this dress. It's so comfortable and chic."
75,men's street footwear,"These shoes are top-notch. I highly recommend them."
76,women's street footwear,"These sneakers are a must-have. So stylish and comfy."
77,men's athletic footwear,"These shoes are perfect for any sport. Great performance."
78,women's athletic footwear,"These shoes are my go-to for running. They're amazing!"
79,men's apparel,"The fit and finish of this shirt are superb."
80,women's apparel,"This dress is a showstopper. I feel incredible in it."
81,men's street footwear,"These shoes are both fashionable and functional."
82,women's street footwear,"These are the most comfortable and stylish shoes I've ever had."
83,men's athletic footwear,"I've noticed a significant improvement in my training with these shoes."
84,women's athletic footwear,"These shoes are perfect for my fitness routine. I love them!"
85,men's apparel,"This shirt is a great value. I'm very pleased."
86,women's apparel,"This dress is a dream. It fits like a glove."
87,men's street footwear,"These shoes are a classic. They go with everything."
88,women's street footwear,"These shoes are perfect for all-day wear. So comfortable!"
89,men's athletic footwear,"These shoes provide excellent support and cushioning."
90,women's athletic footwear,"These shoes are perfect for my active lifestyle."
91,men's apparel,"The shirt is a bit see-through, but otherwise good."
92,women's apparel,"The dress is a little too tight in the chest."
93,men's street footwear,"The shoes are a bit heavy, but durable."
94,women's street footwear,"These shoes are a bit stiff and take some breaking in."
95,men's athletic footwear,"These shoes are okay for light workouts, but not for heavy training."
96,women's athletic footwear,"These shoes are not as breathable as I had hoped."
97,men's apparel,"This shirt is amazing! I love the way it feels."
98,women's apparel,"This dress is stunning! I feel so confident in it."
99,men's street footwear,"These shoes are fantastic! So comfortable and stylish."
100,women's street footwear,"These sneakers are perfect! I wear them everywhere."
